link_id,customer_id,project_id,region_id
L00001,C03708,P00496,R07749
L00002,C00802,P07531,R02852
L00003,C09357,P09304,R00841
L00004,C02481,P08769,R08946
L00005,C01067,P01090,R08263
L00006,C02766,P08233,R04085
L00007,C08627,P03000,R04366
L00008,C05884,P04177,R02667
L00009,C01662,P06641,R04189
L00010,C09015,P01320,R00787
L00011,C03697,P01825,R06722
L00012,C00815,P06642,R01538
L00013,C04241,P05879,R00085
L00014,C07996,P06852,R05809
L00015,C02108,P04104,R07364
L00016,C08309,P04541,R02205
L00017,C06743,P01286,R02437
L00018,C00470,P01277,R00697
L00019,C05140,P06656,R07771
L00020,C01372,P07074,R03178
L00021,C09308,P09903,R02857
L00022,C06642,P07453,R03568
L00023,C01465,P02388,R07188
L00024,C01105,P01374,R02393
L00025,C08225,P03790,R00831
L00026,C09044,P05539,R04813
L00027,C05194,P08675,R05009
L00028,C09999,P07467,R03517
L00029,C02520,P03248,R04112
L00030,C09433,P04567,R03015
L00031,C09664,P09015,R00212
L00032,C08897,P02746,R06248
L00033,C09036,P07404,R02425
L00034,C01786,P08219,R01552
L00035,C09136,P04086,R01439
L00036,C05029,P06827,R02220
L00037,C05448,P06867,R05112
L00038,C09812,P01420,R09792
L00039,C04528,P08399,R03715
L00040,C06948,P00047,R01643
L00041,C01944,P09026,R03992
L00042,C06338,P07078,R04912
L00043,C09861,P09295,R03559
L00044,C04429,P03472,R02360
L00045,C01418,P02442,R06729
L00046,C00319,P05354,R02959
L00047,C04163,P06434,R01249
L00048,C08574,P03019,R09688
L00049,C09615,P04536,R07314
L00050,C07350,P07490,R04492
L00051,C04147,P02298,R06904
L00052,C04062,P06096,R08627
L00053,C04628,P02800,R01560
L00054,C06903,P02900,R02134
L00055,C04835,P06374,R08374
L00056,C08726,P02641,R00835
L00057,C05841,P08134,R07598
L00058,C07085,P01545,R00598
L00059,C01747,P04902,R03508
L00060,C00680,P01027,R04147
L00061,C01285,P07045,R06445
L00062,C06036,P01823,R01126
L00063,C01724,P06474,R05887
L00064,C02517,P08634,R02661
L00065,C01460,P09517,R05495
L00066,C08505,P02713,R03090
L00067,C05303,P04742,R08055
L00068,C05263,P03107,R00215
