customer_id,name,country,industry
C00001,Statkraft AS,NO,Energy
C00002,Kongsberg Defence & Aerospace,NO,Defence
C00003,ABB Norway,NO,Technology
C00004,Polish State,PL,Government
C00005,Polish State,PL,Government
C00006,Vestas Offshore,DK,Offshore Wind
C00007,Statkraft AS,NO,Energy
C00008,DNV GL,NO,Certification
C00009,Statkraft AS,NO,Energy
C00010,Yara International,NO,Chemicals
C00011,Aker Solutions,NO,Engineering
C00012,Kongsberg Defence & Aerospace,NO,Defence
C00013,Kongsberg Defence & Aerospace,NO,Defence
C00014,Statkraft AS,NO,Energy
C00015,Polish State,PL,Government
C00016,Polish State,PL,Government
C00017,DNV GL,NO,Certification
C00018,Yara International,NO,Chemicals
C00019,Kongsberg Defence & Aerospace,NO,Defence
C00020,DNV GL,NO,Certification
C00021,Polish State,PL,Government
C00022,DNV GL,NO,Certification
C00023,Aker Solutions,NO,Engineering
C00024,Polish State,PL,Government
C00025,Norsk Hydro,NO,Metals
C00026,Yara International,NO,Chemicals
C00027,ABB Norway,NO,Technology
C00028,Kongsberg Defence & Aerospace,NO,Defence
C00029,Vestas Offshore,DK,Offshore Wind
C00030,Aker Solutions,NO,Engineering
C00031,Siemens Energy,DE,Energy
C00032,ABB Norway,NO,Technology
C00033,Vestas Offshore,DK,Offshore Wind
C00034,Polish State,PL,Government
C00035,Siemens Energy,DE,Energy
C00036,Statkraft AS,NO,Energy
C00037,Statkraft AS,NO,Energy
C00038,Aker Solutions,NO,Engineering
C00039,Statkraft AS,NO,Energy
C00040,Siemens Energy,DE,Energy
C00041,Siemens Energy,DE,Energy
C00042,Yara International,NO,Chemicals
C00043,ABB Norway,NO,Technology
C00044,Kongsberg Defence & Aerospace,NO,Defence
C00045,Norsk Hydro,NO,Metals
C00046,DNV GL,NO,Certification
C00047,Statkraft AS,NO,Energy
C00048,Aker Solutions,NO,Engineering
C00049,Statkraft AS,NO,Energy
C00050,DNV GL,NO,Certification
C00051,ABB Norway,NO,Technology
C00052,Yara International,NO,Chemicals
C00053,Siemens Energy,DE,Energy
C00054,Yara International,NO,Chemicals
C00055,Polish State,PL,Government
C00056,Statkraft AS,NO,Energy
C00057,Kongsberg Defence & Aerospace,NO,Defence
C00058,Polish State,PL,Government
C00059,ABB Norway,NO,Technology
C00060,Statkraft AS,NO,Energy
C00061,Polish State,PL,Government
C00062,Statkraft AS,NO,Energy
C00063,Aker Solutions,NO,Engineering
C00064,ABB Norway,NO,Technology
C00065,Norsk Hydro,NO,Metals
C00066,Siemens Energy,DE,Energy
