project_id,name,category,green_certified
P00001,Defense System Export to Poland,Defense,False
P00002,Automated Quality Inspection,Certification,False
P00003,Carbon Capture Installation,Energy,True
P00004,Industrial Robotics Export,Technology,False
P00005,Carbon Capture Installation,Energy,True
P00006,Electric Maritime Vessel,Maritime,True
P00007,Fertilizer Plant Upgrade,Chemicals,False
P00008,Carbon Capture Installation,Energy,True
P00009,Fertilizer Plant Upgrade,Chemicals,False
P00010,Automated Quality Inspection,Certification,False
P00011,Fertilizer Plant Upgrade,Chemicals,False
P00012,Automated Quality Inspection,Certification,False
P00013,Fertilizer Plant Upgrade,Chemicals,False
P00014,Smart Grid Installation,Energy,True
P00015,Fertilizer Plant Upgrade,Chemicals,False
P00016,Defense System Export to Poland,Defense,False
P00017,Industrial Robotics Export,Technology,False
P00018,Smart Grid Installation,Energy,True
P00019,Industrial Robotics Export,Technology,False
P00020,Smart Grid Installation,Energy,True
P00021,Industrial Robotics Export,Technology,False
P00022,Hydro Power Expansion,Energy,True
P00023,Fertilizer Plant Upgrade,Chemicals,False
P00024,Fertilizer Plant Upgrade,Chemicals,False
P00025,Automated Quality Inspection,Certification,False
P00026,Green Steel Plant,Metals,True
P00027,Automated Quality Inspection,Certification,False
P00028,Smart Grid Installation,Energy,True
P00029,Defense System Export to Poland,Defense,False
P00030,Industrial Robotics Export,Technology,False
P00031,Offshore Wind Turbine Delivery,Renewable Energy,True
P00032,Defense System Export to Poland,Defense,False
P00033,Smart Grid Installation,Energy,True
P00034,Electric Maritime Vessel,Maritime,True
P00035,Smart Grid Installation,Energy,True
P00036,Hydro Power Expansion,Energy,True
P00037,Green Steel Plant,Metals,True
P00038,Fertilizer Plant Upgrade,Chemicals,False
P00039,Fertilizer Plant Upgrade,Chemicals,False
P00040,Offshore Wind Turbine Delivery,Renewable Energy,True
P00041,Offshore Wind Turbine Delivery,Renewable Energy,True
P00042,Green Steel Plant,Metals,True
P00043,Industrial Robotics Export,Technology,False
P00044,Electric Maritime Vessel,Maritime,True
P00045,Green Steel Plant,Metals,True
P00046,Offshore Wind Turbine Delivery,Renewable Energy,True
P00047,Electric Maritime Vessel,Maritime,True
P00048,Offshore Wind Turbine Delivery,Renewable Energy,True
P00049,Automated Quality Inspection,Certification,False
P00050,Electric Maritime Vessel,Maritime,True
P00051,Offshore Wind Turbine Delivery,Renewable Energy,True
P00052,Defense System Export to Poland,Defense,False
P00053,Hydro Power Expansion,Energy,True
P00054,Green Steel Plant,Metals,True
P00055,Fertilizer Plant Upgrade,Chemicals,False
P00056,Fertilizer Plant Upgrade,Chemicals,False
P00057,Carbon Capture Installation,Energy,True
P00058,Electric Maritime Vessel,Maritime,True
P00059,Hydro Power Expansion,Energy,True
P00060,Carbon Capture Installation,Energy,True
P00061,Offshore Wind Turbine Delivery,Renewable Energy,True
P00062,Smart Grid Installation,Energy,True
P00063,Defense System Export to Poland,Defense,False
P00064,Carbon Capture Installation,Energy,True
P00065,Defense System Export to Poland,Defense,False
P00066,Defense System Export to Poland,Defense,False
P00067,Smart Grid Installation,Energy,True
P00068,Green Steel Plant,Metals,True
P00069,Electric Maritime Vessel,Maritime,True
P00070,Carbon Capture Installation,Energy,True
P00071,Hydro Power Expansion,Energy,True
P00072,Automated Quality Inspection,Certification,False
P00073,Industrial Robotics Export,Technology,False
P00074,Offshore Wind Turbine Delivery,Renewable Energy,True
P00075,Green Steel Plant,Metals,True
P00076,Carbon Capture Installation,Energy,True
P00077,Fertilizer Plant Upgrade,Chemicals,False
P00078,Automated Quality Inspection,Certification,False
P00079,Smart Grid Installation,Energy,True
P00080,Automated Quality Inspection,Certification,False
P00081,Green Steel Plant,Metals,True
P00082,Industrial Robotics Export,Technology,False
P00083,Green Steel Plant,Metals,True
P00084,Fertilizer Plant Upgrade,Chemicals,False
P00085,Hydro Power Expansion,Energy,True
P00086,Green Steel Plant,Metals,True
P00087,Hydro Power Expansion,Energy,True
P00088,Carbon Capture Installation,Energy,True
P00089,Smart Grid Installation,Energy,True
P00090,Green Steel Plant,Metals,True
P00091,Fertilizer Plant Upgrade,Chemicals,False
P00092,Defense System Export to Poland,Defense,False
P00093,Carbon Capture Installation,Energy,True
P00094,Smart Grid Installation,Energy,True
P00095,Fertilizer Plant Upgrade,Chemicals,False
P00096,Carbon Capture Installation,Energy,True
P00097,Fertilizer Plant Upgrade,Chemicals,False
P00098,Electric Maritime Vessel,Maritime,True
P00099,Smart Grid Installation,Energy,True
P00100,Industrial Robotics Export,Technology,False
P00101,Defense System Export to Poland,Defense,False
P00102,Green Steel Plant,Metals,True
P00103,Hydro Power Expansion,Energy,True
P00104,Industrial Robotics Export,Technology,False
P00105,Industrial Robotics Export,Technology,False
P00106,Electric Maritime Vessel,Maritime,True
P00107,Hydro Power Expansion,Energy,True
P00108,Defense System Export to Poland,Defense,False
P00109,Hydro Power Expansion,Energy,True
P00110,Green Steel Plant,Metals,True
P00111,Defense System Export to Poland,Defense,False
P00112,Smart Grid Installation,Energy,True
P00113,Fertilizer Plant Upgrade,Chemicals,False
P00114,Defense System Export to Poland,Defense,False
P00115,Automated Quality Inspection,Certification,False
P00116,Industrial Robotics Export,Technology,False
P00117,Fertilizer Plant Upgrade,Chemicals,False
P00118,Industrial Robotics Export,Technology,False
P00119,Industrial Robotics Export,Technology,False
P00120,Industrial Robotics Export,Technology,False
P00121,Fertilizer Plant Upgrade,Chemicals,False
P00122,Green Steel Plant,Metals,True
P00123,Electric Maritime Vessel,Maritime,True
P00124,Offshore Wind Turbine Delivery,Renewable Energy,True
P00125,Hydro Power Expansion,Energy,True
P00126,Fertilizer Plant Upgrade,Chemicals,False
P00127,Fertilizer Plant Upgrade,Chemicals,False
P00128,Hydro Power Expansion,Energy,True
P00129,Automated Quality Inspection,Certification,False
P00130,Green Steel Plant,Metals,True
P00131,Automated Quality Inspection,Certification,False
P00132,Smart Grid Installation,Energy,True
P00133,Automated Quality Inspection,Certification,False
P00134,Automated Quality Inspection,Certification,False
P00135,Fertilizer Plant Upgrade,Chemicals,False
P00136,Industrial Robotics Export,Technology,False
