region_id,name,country
R00001,Oslo,NO
R00002,Stavanger,NO
R00003,Helsinki,FI
R00004,Helsinki,FI
R00005,Viken,NO
R00006,Copenhagen,DK
R00007,Bergen,NO
R00008,Hamburg,DE
R00009,Oslo,NO
R00010,Viken,NO
R00011,Oslo,NO
R00012,Hamburg,DE
R00013,Oslo,NO
R00014,Trondheim,NO
R00015,Oslo,NO
R00016,Hamburg,DE
R00017,Hamburg,DE
R00018,Oslo,NO
R00019,Bergen,NO
R00020,Viken,NO
R00021,Rogaland,NO
R00022,Viken,NO
R00023,Bergen,NO
R00024,Warsaw,PL
R00025,Rogaland,NO
R00026,Rogaland,NO
R00027,Rogaland,NO
R00028,Warsaw,PL
R00029,Bergen,NO
R00030,Rogaland,NO
R00031,Viken,NO
R00032,Rogaland,NO
R00033,Bergen,NO
R00034,Rogaland,NO
R00035,Bergen,NO
R00036,Trondheim,NO
R00037,Hamburg,DE
R00038,Stavanger,NO
R00039,Viken,NO
R00040,Hamburg,DE
R00041,Trondheim,NO
R00042,Rogaland,NO
R00043,Warsaw,PL
R00044,Warsaw,PL
R00045,Viken,NO
R00046,Bergen,NO
R00047,Hamburg,DE
R00048,Warsaw,PL
R00049,Bergen,NO
R00050,Oslo,NO
R00051,Rogaland,NO
R00052,Copenhagen,DK
R00053,Copenhagen,DK
R00054,Bergen,NO
R00055,Helsinki,FI
R00056,Bergen,NO
R00057,Warsaw,PL
R00058,Warsaw,PL
R00059,Rogaland,NO
R00060,Helsinki,FI
R00061,Copenhagen,DK
R00062,Helsinki,FI
R00063,Hamburg,DE
R00064,Rogaland,NO
R00065,Helsinki,FI
R00066,Copenhagen,DK
R00067,Trondheim,NO
R00068,Helsinki,FI
R00069,Bergen,NO
R00070,Warsaw,PL
R00071,Oslo,NO
R00072,Warsaw,PL
R00073,Copenhagen,DK
R00074,Rogaland,NO
R00075,Copenhagen,DK
R00076,Stavanger,NO
R00077,Rogaland,NO
R00078,Warsaw,PL
R00079,Bergen,NO
R00080,Rogaland,NO
R00081,Rogaland,NO
R00082,Copenhagen,DK
R00083,Viken,NO
R00084,Copenhagen,DK
R00085,Bergen,NO
R00086,Warsaw,PL
R00087,Helsinki,FI
R00088,Trondheim,NO
R00089,Warsaw,PL
R00090,Helsinki,FI
R00091,Helsinki,FI
R00092,Helsinki,FI
R00093,Hamburg,DE
R00094,Oslo,NO
R00095,Oslo,NO
R00096,Viken,NO
R00097,Bergen,NO
R00098,Stavanger,NO
R00099,Stavanger,NO
R00100,Stavanger,NO
R00101,Stavanger,NO
R00102,Bergen,NO
R00103,Copenhagen,DK
R00104,Hamburg,DE
R00105,Rogaland,NO
R00106,Copenhagen,DK
R00107,Copenhagen,DK
R00108,Viken,NO
R00109,Warsaw,PL
R00110,Bergen,NO
R00111,Rogaland,NO
R00112,Oslo,NO
R00113,Trondheim,NO
R00114,Oslo,NO
R00115,Stavanger,NO
R00116,Viken,NO
R00117,Helsinki,FI
R00118,Bergen,NO
R00119,Oslo,NO
R00120,Rogaland,NO
R00121,Helsinki,FI
R00122,Bergen,NO
R00123,Helsinki,FI
R00124,Warsaw,PL
R00125,Helsinki,FI
