transaction_id,customer_id,project_id,loan_amount_nok,guarantee_amount_nok,currency,transaction_date,status,is_green_project
T00001,C05065,P04614,25128464.97,10043789.47,NOK,2020-08-18,Active,False
T00002,C08890,P08917,8961817.42,23090204.33,USD,2025-01-25,Closed,False
T00003,C01834,P03942,6672676.01,8754231.78,USD,2024-10-29,Active,False
T00004,C04469,P09764,45646695.98,18203108.9,EUR,2023-03-17,Default,True
T00005,C01154,P03443,7878950.62,506439.12,USD,2024-04-22,Default,True
T00006,C01542,P06175,32577034.42,13865424.84,USD,2021-04-06,Default,False
T00007,C03402,P03347,36389650.62,17319198.64,EUR,2024-07-27,Default,False
T00008,C05810,P05310,9796981.13,4887507.11,NOK,2021-07-02,Default,True
T00009,C01857,P09103,38166706.82,1968789.93,NOK,2020-10-21,Closed,False
T00010,C05979,P00601,8503770.78,22246316.69,NOK,2025-02-07,Active,True
T00011,C09718,P05672,45356272.31,12092031.2,USD,2021-01-30,Default,False
T00012,C01242,P06524,38716617.15,13076645.43,NOK,2024-02-03,Active,False
T00013,C00443,P01254,20616189.36,24852098.24,NOK,2024-11-20,Default,True
T00014,C03126,P05888,25873045.07,6564126.79,USD,2022-11-17,Active,True
T00015,C00714,P03895,14730447.23,6737342.73,EUR,2020-02-04,Default,True
T00016,C05340,P01233,6396314.0,3680312.41,EUR,2024-02-11,Active,True
T00017,C09491,P02901,49836937.55,17205064.89,NOK,2025-05-17,Default,False
T00018,C09421,P07536,8480663.96,23938529.84,NOK,2021-02-01,Default,False
T00019,C08964,P08767,12917792.49,16520309.23,EUR,2023-08-10,Active,True
T00020,C02231,P00750,44587130.96,6452355.39,USD,2024-04-29,Active,True
T00021,C09718,P08896,25883878.93,23679888.42,EUR,2024-04-22,Default,False
T00022,C00249,P08648,22817580.1,1268787.94,USD,2025-01-25,Default,True
T00023,C03591,P09060,8825994.61,18737960.37,EUR,2024-03-27,Active,True
T00024,C07819,P00702,40723463.75,5643891.35,NOK,2024-05-20,Closed,False
T00025,C03995,P00315,40787445.22,23070806.26,USD,2024-03-25,Default,True
T00026,C07387,P01291,11144407.82,3974272.97,EUR,2021-06-14,Closed,False
T00027,C01403,P00102,27171481.12,16881282.5,NOK,2023-02-07,Default,False
T00028,C08943,P06839,42674055.33,6175812.23,EUR,2025-05-23,Closed,True
T00029,C01515,P04737,42188793.52,24416307.78,USD,2020-11-16,Default,False
T00030,C07378,P05654,18217077.57,2263695.06,EUR,2024-12-04,Active,False
T00031,C05937,P06890,9679772.36,24061963.59,EUR,2021-12-18,Active,True
T00032,C02644,P05454,25957819.25,19397971.14,EUR,2024-08-24,Default,True
T00033,C00789,P01887,28683177.42,21168134.02,NOK,2021-06-14,Closed,False
T00034,C04592,P00279,7520879.51,15611717.45,EUR,2024-10-21,Default,False
